,id,location,latitude,longitude
136,646712187269000000,Laç,41.63556,19.71306
137,646712204139000000,Laç,41.63556,19.71306
138,646712271776000000,Laç,41.63556,19.71306
139,646712278269000000,Laç,41.63556,19.71306
140,646712290499000000,Laç,41.63556,19.71306
141,646712368643000000,Laç,41.63556,19.71306
142,646712375987000000,Laç,41.63556,19.71306
143,646712383718000000,Laç,41.63556,19.71306
144,646712395097000000,Laç,41.63556,19.71306
145,646712407147000000,Laç,41.63556,19.71306
146,646712443197000000,Laç,41.63556,19.71306
147,646712451393000000,Laç,41.63556,19.71306
148,646712459060000000,Laç,41.63556,19.71306
149,646712522180000000,Laç,41.63556,19.71306
150,646712544766000000,Laç,41.63556,19.71306
151,646712569362000000,Laç,41.63556,19.71306
152,646712590069000000,Laç,41.63556,19.71306
153,646712599993000000,Laç,41.63556,19.71306
154,646712667316000000,Laç,41.63556,19.71306
155,646712675696000000,Laç,41.63556,19.71306
156,646712685011000000,Laç,41.63556,19.71306
157,646712739378000000,Laç,41.63556,19.71306
158,646712741685000000,Laç,41.63556,19.71306
159,646712747204000000,Laç,41.63556,19.71306
160,646712817048000000,Laç,41.63556,19.71306
161,646712855334000000,Laç,41.63556,19.71306
162,646712869166000000,Laç,41.63556,19.71306
163,646712885524000000,Laç,41.63556,19.71306
164,646712905049000000,Laç,41.63556,19.71306
165,646712908677000000,Laç,41.63556,19.71306
166,646712970937000000,Laç,41.63556,19.71306
167,646712989715000000,Laç,41.63556,19.71306
168,646712999055000000,Laç,41.63556,19.71306
169,646713001870000000,Laç,41.63556,19.71306
170,646713105616000000,Laç,41.63556,19.71306
171,646713115049000000,Laç,41.63556,19.71306
172,646713122850000000,Laç,41.63556,19.71306
173,646713125451000000,Laç,41.63556,19.71306
174,646713137388000000,Laç,41.63556,19.71306
175,646713145676000000,Laç,41.63556,19.71306
176,646713154467000000,Laç,41.63556,19.71306
177,646713169156000000,Laç,41.63556,19.71306
178,646713189905000000,Laç,41.63556,19.71306
179,646713192296000000,Laç,41.63556,19.71306
180,646713194296000000,Laç,41.63556,19.71306
181,646713206258000000,Laç,41.63556,19.71306
182,646713213137000000,Laç,41.63556,19.71306
183,646713219609000000,Laç,41.63556,19.71306
184,646713342410000000,Laç,41.63556,19.71306
185,646713421850000000,Laç,41.63556,19.71306
186,646713451155000000,Laç,41.63556,19.71306
187,646713501571000000,Laç,41.63556,19.71306
188,646713507590000000,Laç,41.63556,19.71306
189,646713515345000000,Laç,41.63556,19.71306
190,646713529132000000,Laç,41.63556,19.71306
191,646713544219000000,Laç,41.63556,19.71306
192,646713571360000000,Laç,41.63556,19.71306
193,646713593380000000,Laç,41.63556,19.71306
194,646713600347000000,Laç,41.63556,19.71306
195,646713601701000000,Laç,41.63556,19.71306
