id,created_at,"regexp_replace(text, ',+', ' ')",time_zone,latitude,longitude,country_code
615463047700873216,Mon Jun 29 10:13:19 +0000 2015,RT @iIovedogs123: This is a Minion 🚫⛔️ FREE zone⚠️ 🚧 keep those yellow 📒 goggled men AWAY 🙅🏽👎🏼❌❗️ RETWEET 👌🏼🙏🏼 if u agree😳😁 minions are com…,Madrid,9.26210975647,125.964370728,PH
615490334185922560,Mon Jun 29 12:01:45 +0000 2015,RT @xMinionHo: #aclaración  es cumpleaños de minion no de user (?),Buenos Aires,-34.6131515503,-58.3772315979,AR
615488554773413888,Mon Jun 29 11:54:41 +0000 2015,@xMinionHo Salta sobre la cama de minion  aplastándolo  y empieza a cantar a los gritos el feliz cumpleaños  en coreano.-¡Feliz cumpleaños »,Buenos Aires,-34.6131515503,-58.3772315979,AR
615489944455262209,Mon Jun 29 12:00:12 +0000 2015,Fancy Sandra Bullock's Minion shoes? They're being auctioned off: http://t.co/mTzkA5WTJt http://t.co/5DvvXnpZ9x,Dublin,53.3330612183,-6.2488899231,IE
615462410678333440,Mon Jun 29 10:10:48 +0000 2015,RT @iIovedogs123: This is a Minion 🚫⛔️ FREE zone⚠️ 🚧 keep those yellow 📒 goggled men AWAY 🙅🏽👎🏼❌❗️ RETWEET 👌🏼🙏🏼 if u agree😳😁 minions are com…,Athens,42.2603607178,-73.8095703125,US
615472382053122048,Mon Jun 29 10:50:25 +0000 2015,@hannahremorta naman besh! Ang ganda ganda mo eh  besh bet ko yung Minion toys sa McDo haha,Athens,42.0886611938,-85.2347106934,US
615453300595494912,Mon Jun 29 09:34:36 +0000 2015,i love minion yaoi http://t.co/U7k05yV4RQ,Rome,40.8830909729,-89.5025863647,US
615472382053122048,Mon Jun 29 10:50:25 +0000 2015,@hannahremorta naman besh! Ang ganda ganda mo eh  besh bet ko yung Minion toys sa McDo haha,Athens,39.9608802795,-89.723991394,US
615481717332307968,Mon Jun 29 11:27:31 +0000 2015,@Poundland Wow my kids are minion crazy at the moment this would be amazing to win #AmazingMinions,Amsterdam,42.9386901855,-74.1881866455,US
615456547477549056,Mon Jun 29 09:47:30 +0000 2015,RT @leminionstore: Les inscriptions au jeu concours continuent ! C'est sur http://t.co/0XzFdpoRMH #minion #retweet http://t.co/utbR8BSMON,Paris,39.6111488342,-87.6961364746,US
615459472287215617,Mon Jun 29 09:59:07 +0000 2015,A ver si os cambiáis el avatar gayses por el de un minion y así ya os pego patadas en la cabeza con más ganas.,Athens,39.3292388916,-82.1012573242,US
