neg,615463047700873216,Mon Jun 29 10:13:19 +0000 2015,english, AT_USER this is a minion 🚫⛔️ free zone⚠️ 🚧 keep those yellow 📒 goggled men away 🙅🏽👎🏼❌❗️ retweet 👌🏼🙏🏼 if u agree😳😁 minions are com…,Madrid,9.26210975647,125.964370728,PH
neg,615490334185922560,Mon Jun 29 12:01:45 +0000 2015,spanish, AT_USER aclaración es cumpleaños de minion no de user (),Buenos Aires,-34.6131515503,-58.3772315979,AR
neg,615488554773413888,Mon Jun 29 11:54:41 +0000 2015,spanish,AT_USER salta sobre la cama de minion aplastándolo y empieza a cantar a los gritos el feliz cumpleaños en coreano-feliz cumpleaños »,Buenos Aires,-34.6131515503,-58.3772315979,AR
neg,615489944455262209,Mon Jun 29 12:00:12 +0000 2015,english,fancy sandra bullock's minion shoes they're being auctioned off: URL URL,Dublin,53.3330612183,-6.2488899231,IE
neg,615462410678333440,Mon Jun 29 10:10:48 +0000 2015,english, AT_USER this is a minion 🚫⛔️ free zone⚠️ 🚧 keep those yellow 📒 goggled men away 🙅🏽👎🏼❌❗️ retweet 👌🏼🙏🏼 if u agree😳😁 minions are com…,Athens,42.2603607178,-73.8095703125,US
neg,615472382053122048,Mon Jun 29 10:50:25 +0000 2015,french,AT_USER naman besh ang ganda ganda mo eh besh bet ko yung minion toys sa mcdo haha,Athens,42.0886611938,-85.2347106934,US
pos,615453300595494912,Mon Jun 29 09:34:36 +0000 2015,english,i love minion yaoi URL,Rome,40.8830909729,-89.5025863647,US
neg,615472382053122048,Mon Jun 29 10:50:25 +0000 2015,french,AT_USER naman besh ang ganda ganda mo eh besh bet ko yung minion toys sa mcdo haha,Athens,39.9608802795,-89.723991394,US
neg,615481717332307968,Mon Jun 29 11:27:31 +0000 2015,english,AT_USER wow my kids are minion crazy at the moment this would be amazing to win amazingminions,Amsterdam,42.9386901855,-74.1881866455,US
neg,615456547477549056,Mon Jun 29 09:47:30 +0000 2015,french, AT_USER les inscriptions au jeu concours continuent  c'est sur URL minion retweet URL,Paris,39.6111488342,-87.6961364746,US
neg,615459472287215617,Mon Jun 29 09:59:07 +0000 2015,spanish,a ver si os cambiáis el avatar gayses por el de un minion y así ya os pego patadas en la cabeza con más ganas,Athens,39.3292388916,-82.1012573242,US
neg,615499373338849280,Mon Jun 29 12:37:40 +0000 2015,english, AT_USER this is a minion 🚫⛔️ free zone⚠️ 🚧 keep those yellow 📒 goggled men away 🙅🏽👎🏼❌❗️ retweet 👌🏼🙏🏼 if u agree😳😁 minions are com…,Lisbon,44.0314598083,-70.1044998169,US
neg,615455675695648768,Mon Jun 29 09:44:02 +0000 2015,english, AT_USER this is a minion 🚫⛔️ free zone⚠️ 🚧 keep those yellow 📒 goggled men away 🙅🏽👎🏼❌❗️ retweet 👌🏼🙏🏼 if u agree😳😁 minions are com…,London,37.1289787292,-84.0832595825,US
neg,615496391327129600,Mon Jun 29 12:25:49 +0000 2015,portuguese, AT_USER ""ai quero ir no mc comprar um minion"" não miga eu quero ir pelo lanche mesmo,Santiago,14.0211000443,121.279197693,PH
neg,615477083616186368,Mon Jun 29 11:09:06 +0000 2015,french, AT_USER j'espère qu'un jour je soirais avec une personne qui me regardera comme un minion regarde une banane URL,Athens,37.9794502258,23.7162208557,GR
neg,615461889330573312,Mon Jun 29 10:08:43 +0000 2015,english, AT_USER this is a minion 🚫⛔️ free zone⚠️ 🚧 keep those yellow 📒 goggled men away 🙅🏽👎🏼❌❗️ retweet 👌🏼🙏🏼 if u agree😳😁 minions are com…,Athens,37.9794502258,23.7162208557,GR
neg,615486130138546176,Mon Jun 29 11:45:03 +0000 2015,english, AT_USER bape's latest collaboration turns you into a minion: URL URL,Athens,42.2603607178,-73.8095703125,US
neg,615487178173386752,Mon Jun 29 11:49:13 +0000 2015,french,[maj] moi moche &amp; méchant minion rush revient sur os windows et se met à jour: maj du 29/06/2015 : on croyait URL,Paris,43.2000007629,-80.3833312988,CA
neg,615487902445867008,Mon Jun 29 11:52:05 +0000 2015,english, AT_USER  URL,Athens,35.4428482056,-84.5929870605,US
pos,615477403364786176,Mon Jun 29 11:10:22 +0000 2015,english,thomas fpving his minion 220 on the first day of the school holidays 👍 fpvracing fpv mini-quads… URL,Melbourne,-37.813999176,144.963317871,AU
neg,615462088341876736,Mon Jun 29 10:09:31 +0000 2015,english, AT_USER this is a minion 🚫⛔️ free zone⚠️ 🚧 keep those yellow 📒 goggled men away 🙅🏽👎🏼❌❗️ retweet 👌🏼🙏🏼 if u agree😳😁 minions are …,Dublin,53.3330612183,-6.2488899231,IE
neg,615461653363171329,Mon Jun 29 10:07:47 +0000 2015,english, AT_USER this is a minion 🚫⛔️ free zone⚠️ 🚧 keep those yellow 📒 goggled men away 🙅🏽👎🏼❌❗️ retweet 👌🏼🙏🏼 if u agree😳😁 minions are com…,Madrid,41.8766517639,-93.8232803345,US
neg,615457223507054592,Mon Jun 29 09:50:11 +0000 2015,english,i liked a AT_USER video URL my record time to 100+ mass and minion invasion (the most addictive game ever -,London,51.5085296631,-0.125740006566,GB
neg,615456454707970049,Mon Jun 29 09:47:08 +0000 2015,french, AT_USER paicipez au jeu concours minions store pour gagner des cadeaux  jeuconcours minion URL URL,Paris,35.2920303345,-93.7299194336,US
pos,615456436227829760,Mon Jun 29 09:47:03 +0000 2015,french, AT_USER le grand jeu concours minions store est bel et bien lancé  minion retweet URL URL,Paris,35.2920303345,-93.7299194336,US
neg,615492517929332736,Mon Jun 29 12:10:26 +0000 2015,english, AT_USER ❕❗❕❗❕❗❕❗this is a minion 🆓free🆓 account❗❕❗❕❗❕❗❕ ↖↖this↖↖ person 🚫hates🚫 minions‼‼,Amsterdam,52.3740310669,4.88968992233,NL
neg,615481208663748608,Mon Jun 29 11:25:29 +0000 2015,english, AT_USER watch out for minion caveman and his weapon--a banana minionsatmcdo URL,Beijing,39.9075012207,116.397232056,CN
neg,615500155484270592,Mon Jun 29 12:40:47 +0000 2015,english, AT_USER this is a minion 🚫⛔️ free zone⚠️ 🚧 keep those yellow 📒 goggled men away 🙅🏽👎🏼❌❗️ retweet 👌🏼🙏🏼 if u agree😳😁 minions are com…,Dublin,53.3330612183,-6.2488899231,IE
neg,615460445374312448,Mon Jun 29 10:02:59 +0000 2015,english,sandra bullock attends the minion film premiere in la minionspremiere sandrabullock URL,London,36.47605896,-119.44317627,US
neg,615482353666801665,Mon Jun 29 11:30:02 +0000 2015,english,minion keiasaan sepi sepi bgt rame gak ketulungan cpk,Jakarta,-6.21462011337,106.84513092,ID
neg,615460712140435456,Mon Jun 29 10:04:03 +0000 2015,english, AT_USER for your chance to win this fab minions merchandise follow &amp;  book tickets now at URL URL,London,36.47605896,-119.44317627,US
